Calibre;Sudeste (%);Sul (%);Nordeste (%);Centro - Oeste (%);Norte (%)
  Calibre 9mm;67,42;71,43;74,19;78,12;85,71
  Calibre 380;62,12;52,86;58,06;56,25;85,71
  Calibre 38;64,39;62,86;38,71;40,62;42,86
  Calibre 22;28,79;37,14;19,35;34,38;0,0
  Calibre 40;15,91;22,86;19,35;18,75;0,0
  Calibre 12;11,36;11,43;6,45;25,0;0,0
  Calibre 45;9,85;18,57;6,45;9,38;0,0
  Calibre 357;9,85;8,57;0,0;25,0;0,0
  Outros;3,03;2,86;0,0;6,25;0,0
  Calibre 36;1,52;4,29;0,0;0,0;0,0
  Calibre 28;0,0;4,29;0,0;0,0;0,0
  Não informou;1,52;0,0;0,0;0,0;0,0
