Argumento;Usuário Final (%);Gestor de Clube (%);Gestor de Loja de Armaria (%)
  Confiança / Segurança no disparo;47,0;41;43
  Preço/Custo-Benefício;35,0;36;37
  Precisão || Desempenho do disparo;24,0;32;17
  Testes de provas | Laudos;17,5;16;30
  Padronização de peso | Medida;12,5;14;10
  Preservação da arma;7,5;12;12
  Facilidade de aquisição;11,0;9;6
  Não sabe;3,5;8;7
  Diferencial em relação à marca utilizada;2,0;3;3
  Recomendação de pessoas relevantes no setor;1,0;4;4
  Preço diferenciado para a loja ter margem / Consumidor compra com mesmo preço e sem quantidade mínima;0,0;0;5
  Informação técnica detalhada;1,0;2;0
