Motivo;Categoria;Porcentagem
  Qualidade/Desempenho;BULLETS (%);0,0
  Confiança/Costume/Parceria;BULLETS (%);0,0
  Preço/Custo-Benefício;BULLETS (%);0,0
  Disponibilidade/Logística/Facilidade de compra;BULLETS (%);100,0
  Disponibilidade/Logística;BULLETS (%);0,0
  Não Sabe/Sem Opinião;BULLETS (%);0,0
  Mais conhecida | Tradição ;BULLETS (%);0,0
  É a única fabricante do modelo;BULLETS (%);0,0
  Peso mais preciso / Melhor balanceado;BULLETS (%);0,0
  Amigos indicam;BULLETS (%);0,0
  Indústria grande;BULLETS (%);0,0
  Maior varidade de modelos;BULLETS (%);0,0
  Não é importada;BULLETS (%);0,0
  O clube não tem máquina de recarga;BULLETS (%);0,0
  Qualidade/Desempenho;CBC (%);24,89
  Confiança/Costume/Parceria;CBC (%);22,27
  Preço/Custo-Benefício;CBC (%);27,95
  Disponibilidade/Logística/Facilidade de compra;CBC (%);28,82
  Disponibilidade/Logística;CBC (%);14,41
  Não Sabe/Sem Opinião;CBC (%);3,49
  Mais conhecida | Tradição ;CBC (%);4,8
  É a única fabricante do modelo;CBC (%);5,24
  Peso mais preciso / Melhor balanceado;CBC (%);0,0
  Amigos indicam;CBC (%);0,0
  Indústria grande;CBC (%);0,87
  Maior varidade de modelos;CBC (%);0,0
  Não é importada;CBC (%);0,87
  O clube não tem máquina de recarga;CBC (%);0,0
  Qualidade/Desempenho;MORIGI (%);60,0
  Confiança/Costume/Parceria;MORIGI (%);30,91
  Preço/Custo-Benefício;MORIGI (%);27,27
  Disponibilidade/Logística/Facilidade de compra;MORIGI (%);3,64
  Disponibilidade/Logística;MORIGI (%);14,55
  Não Sabe/Sem Opinião;MORIGI (%);1,82
  Mais conhecida | Tradição ;MORIGI (%);1,82
  É a única fabricante do modelo;MORIGI (%);0,0
  Peso mais preciso / Melhor balanceado;MORIGI (%);3,64
  Amigos indicam;MORIGI (%);3,64
  Indústria grande;MORIGI (%);0,0
  Maior varidade de modelos;MORIGI (%);3,64
  Não é importada;MORIGI (%);0,0
  O clube não tem máquina de recarga;MORIGI (%);0,0
  Qualidade/Desempenho;MARCONDES (%);51,72
  Confiança/Costume/Parceria;MARCONDES (%);41,38
  Preço/Custo-Benefício;MARCONDES (%);24,14
  Disponibilidade/Logística/Facilidade de compra;MARCONDES (%);27,59
  Disponibilidade/Logística;MARCONDES (%);10,34
  Não Sabe/Sem Opinião;MARCONDES (%);0,0
  Mais conhecida | Tradição ;MARCONDES (%);3,45
  É a única fabricante do modelo;MARCONDES (%);0,0
  Peso mais preciso / Melhor balanceado;MARCONDES (%);0,0
  Amigos indicam;MARCONDES (%);0,0
  Indústria grande;MARCONDES (%);0,0
  Maior varidade de modelos;MARCONDES (%);0,0
  Não é importada;MARCONDES (%);0,0
  O clube não tem máquina de recarga;MARCONDES (%);0,0
  Qualidade/Desempenho;LYON (%);63,33
  Confiança/Costume/Parceria;LYON (%);26,67
  Preço/Custo-Benefício;LYON (%);6,67
  Disponibilidade/Logística/Facilidade de compra;LYON (%);26,67
  Disponibilidade/Logística;LYON (%);3,33
  Não Sabe/Sem Opinião;LYON (%);0,0
  Mais conhecida | Tradição ;LYON (%);3,33
  É a única fabricante do modelo;LYON (%);0,0
  Peso mais preciso / Melhor balanceado;LYON (%);6,67
  Amigos indicam;LYON (%);6,67
  Indústria grande;LYON (%);0,0
  Maior varidade de modelos;LYON (%);0,0
  Não é importada;LYON (%);0,0
  O clube não tem máquina de recarga;LYON (%);0,0
  Qualidade/Desempenho;BUFALO (%);52,63
  Confiança/Costume/Parceria;BUFALO (%);36,84
  Preço/Custo-Benefício;BUFALO (%);18,42
  Disponibilidade/Logística/Facilidade de compra;BUFALO (%);31,58
  Disponibilidade/Logística;BUFALO (%);7,89
  Não Sabe/Sem Opinião;BUFALO (%);0,0
  Mais conhecida | Tradição ;BUFALO (%);2,63
  É a única fabricante do modelo;BUFALO (%);0,0
  Peso mais preciso / Melhor balanceado;BUFALO (%);5,26
  Amigos indicam;BUFALO (%);0,0
  Indústria grande;BUFALO (%);0,0
  Maior varidade de modelos;BUFALO (%);0,0
  Não é importada;BUFALO (%);0,0
  O clube não tem máquina de recarga;BUFALO (%);0,0
