Marcas;Categoria;Porcentagem
  CBC;Sudeste;60,2
  NÃO SABE A MARCA;Sudeste;14,43
  MORIGI;Sudeste;16,42
  Outros;Sudeste;9,45
  BUFALO;Sudeste;12,44
  LYON;Sudeste;3,98
  MARCONDES;Sudeste;10,45
  EAGLE;Sudeste;4,98
  FEDERAL;Sudeste;3,48
  PRECISION;Sudeste;2,49
  MQ;Sudeste;0,0
  HORNADY;Sudeste;1,0
  HUNTER;Sudeste;0,0
  UAI;Sudeste;0,5
  CBC;Sul;50,5
  NÃO SABE A MARCA;Sul;16,83
  MORIGI;Sul;9,9
  Outros;Sul;6,93
  BUFALO;Sul;8,91
  LYON;Sul;11,88
  MARCONDES;Sul;3,96
  EAGLE;Sul;3,96
  FEDERAL;Sul;0,0
  PRECISION;Sul;2,97
  MQ;Sul;5,94
  HORNADY;Sul;1,98
  HUNTER;Sul;1,98
  UAI;Sul;1,98
  CBC;Nordeste;59,09
  NÃO SABE A MARCA;Nordeste;9,09
  MORIGI;Nordeste;9,09
  Outros;Nordeste;22,73
  BUFALO;Nordeste;9,09
  LYON;Nordeste;9,09
  MARCONDES;Nordeste;9,09
  EAGLE;Nordeste;4,55
  FEDERAL;Nordeste;9,09
  PRECISION;Nordeste;4,55
  MQ;Nordeste;4,55
  HORNADY;Nordeste;0,0
  HUNTER;Nordeste;0,0
  UAI;Nordeste;0,0
  CBC;Centro - Oeste;54,55
  NÃO SABE A MARCA;Centro - Oeste;11,36
  MORIGI;Centro - Oeste;13,64
  Outros;Centro - Oeste;4,55
  BUFALO;Centro - Oeste;0,0
  LYON;Centro - Oeste;13,64
  MARCONDES;Centro - Oeste;0,0
  EAGLE;Centro - Oeste;18,18
  FEDERAL;Centro - Oeste;0,0
  PRECISION;Centro - Oeste;0,0
  MQ;Centro - Oeste;0,0
  HORNADY;Centro - Oeste;2,27
  HUNTER;Centro - Oeste;2,27
  UAI;Centro - Oeste;0,0
  CBC;Norte;70,0
  NÃO SABE A MARCA;Norte;10,0
  MORIGI;Norte;20,0
  Outros;Norte;0,0
  BUFALO;Norte;0,0
  LYON;Norte;0,0
  MARCONDES;Norte;0,0
  EAGLE;Norte;0,0
  FEDERAL;Norte;0,0
  PRECISION;Norte;0,0
  MQ;Norte;0,0
  HORNADY;Norte;0,0
  HUNTER;Norte;0,0
  UAI;Norte;0,0
